Employee_ID,Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0967,Sales,43,10,2,High,No,Unsatisfied,1,Daily,Poor
EMP0968,Data Scientist,45,3,2,Medium,No,Neutral,3,None,Average
EMP0969,HR,24,5,1,Low,Yes,Neutral,5,Weekly,Average
EMP0970,Designer,37,7,3,High,Yes,Neutral,1,Daily,Poor
EMP0971,Software Engineer,48,5,4,Medium,Yes,Unsatisfied,3,None,Good
EMP0972,Software Engineer,29,11,1,Medium,No,Satisfied,3,Daily,Good
EMP0973,Software Engineer,26,9,3,Low,No,Unsatisfied,4,Daily,Average
EMP0974,Software Engineer,60,2,2,High,No,Unsatisfied,3,Daily,Poor
EMP0975,HR,22,3,4,High,Yes,Satisfied,5,None,Average
EMP0976,HR,21,0,4,Medium,Yes,Satisfied,2,Daily,Average
EMP0977,Sales,49,2,3,High,Yes,Satisfied,5,Weekly,Good
EMP0978,Sales,38,7,4,Medium,No,Unsatisfied,2,None,Average
EMP0979,Project Manager,26,1,3,Low,Yes,Satisfied,3,Weekly,Average
EMP0980,Project Manager,50,13,5,Low,Yes,Unsatisfied,3,Weekly,Poor
EMP0981,Data Scientist,26,10,2,High,Yes,Neutral,4,Weekly,Average
EMP0982,Designer,26,5,3,High,Yes,Unsatisfied,1,Weekly,Poor
EMP0983,Data Scientist,30,9,2,High,No,Unsatisfied,3,Weekly,Average
EMP0984,Project Manager,50,7,3,High,Yes,Satisfied,2,None,Good
EMP0985,Project Manager,60,10,4,Medium,Yes,Unsatisfied,3,Daily,Average
EMP0986,Software Engineer,49,6,5,Low,No,Unsatisfied,5,None,Good
EMP0987,Marketing,48,9,2,Medium,No,Neutral,5,None,Poor
EMP0988,HR,39,4,5,Low,No,Unsatisfied,1,Weekly,Average
EMP0989,Marketing,52,15,2,High,No,Neutral,3,Weekly,Good
EMP0990,Software Engineer,23,5,3,Medium,Yes,Satisfied,4,Weekly,Good
EMP0991,Software Engineer,51,8,4,Medium,Yes,Unsatisfied,5,None,Poor
EMP0992,Designer,28,14,5,Medium,No,Satisfied,1,Weekly,Poor
EMP0993,Software Engineer,22,15,5,Low,Yes,Neutral,1,Weekly,Average
EMP0994,Project Manager,50,1,3,Medium,No,Satisfied,3,Daily,Poor
EMP0995,Software Engineer,21,13,3,Low,Yes,Satisfied,3,None,Poor
EMP0996,Sales,28,14,1,Medium,No,Neutral,2,Weekly,Poor
EMP0997,Project Manager,21,14,3,Low,No,Neutral,5,Daily,Good
EMP0998,Project Manager,58,15,4,Low,No,Satisfied,2,Daily,Poor
EMP0999,Marketing,28,5,4,Low,Yes,Unsatisfied,3,None,Average
EMP1000,Designer,41,2,1,High,Yes,Neutral,1,None,Poor
EMP1001,Marketing,25,4,4,Medium,Yes,Neutral,4,Weekly,Good
EMP1002,HR,35,5,1,High,Yes,Neutral,4,None,Poor
EMP1003,Sales,49,9,4,High,No,Unsatisfied,2,Weekly,Average
EMP1004,HR,37,7,5,Medium,Yes,Neutral,4,Weekly,Average
EMP1005,Marketing,43,8,2,Medium,No,Unsatisfied,2,None,Good
EMP1006,Data Scientist,35,6,4,High,Yes,Neutral,5,Daily,Poor
EMP1007,Designer,44,2,5,Medium,Yes,Satisfied,3,Daily,Average
EMP1008,Marketing,35,8,1,Medium,No,Unsatisfied,2,Daily,Average
EMP1009,Project Manager,35,2,2,Low,No,Unsatisfied,4,Daily,Average
EMP1010,Designer,60,0,4,High,Yes,Unsatisfied,2,Weekly,Good
EMP1011,Sales,54,0,5,Medium,Yes,Neutral,3,None,Good
EMP1012,Software Engineer,41,14,3,High,Yes,Neutral,5,Weekly,Good
EMP1013,Software Engineer,60,4,3,High,No,Unsatisfied,3,Daily,Good
EMP1014,Software Engineer,40,10,1,High,No,Satisfied,4,Weekly,Average
EMP1015,Designer,47,4,2,Low,Yes,Satisfied,5,Weekly,Average
EMP1016,Software Engineer,58,15,3,Low,Yes,Unsatisfied,5,None,Good
EMP1017,Marketing,23,7,5,Low,No,Neutral,5,Weekly,Good
EMP1018,Designer,55,12,5,Medium,Yes,Satisfied,5,Weekly,Poor
EMP1019,HR,25,14,2,Low,Yes,Neutral,3,Daily,Good
EMP1020,Sales,40,5,4,High,Yes,Unsatisfied,1,Weekly,Good
EMP1021,Project Manager,26,12,2,Low,Yes,Satisfied,3,Daily,Average
EMP1022,Software Engineer,48,13,3,High,No,Satisfied,3,None,Poor
EMP1023,Sales,50,6,4,Medium,No,Unsatisfied,3,Daily,Good
EMP1024,HR,48,8,3,Medium,Yes,Neutral,1,Weekly,Average
EMP1025,Data Scientist,34,8,4,Medium,No,Satisfied,3,Weekly,Good
EMP1026,Marketing,57,9,4,Medium,Yes,Neutral,4,Weekly,Average
EMP1027,Sales,52,12,3,High,Yes,Satisfied,4,Daily,Good
EMP1028,Data Scientist,22,8,3,High,No,Satisfied,4,Daily,Poor
EMP1029,Marketing,20,11,4,Low,No,Neutral,4,Weekly,Good
EMP1030,Marketing,44,1,3,High,No,Neutral,4,Weekly,Good
EMP1031,HR,25,5,4,Medium,Yes,Unsatisfied,4,Daily,Poor
EMP1032,Software Engineer,46,12,4,Medium,Yes,Neutral,4,Weekly,Good
EMP1033,Designer,32,6,2,Medium,Yes,Unsatisfied,5,None,Average
EMP1034,HR,45,7,2,High,Yes,Neutral,3,Weekly,Good
EMP1035,Project Manager,30,5,4,High,Yes,Neutral,3,Weekly,Average
EMP1036,Designer,32,9,4,Low,Yes,Satisfied,5,None,Average
EMP1037,HR,30,13,5,Low,Yes,Unsatisfied,3,None,Poor
EMP1038,Software Engineer,59,15,4,High,No,Unsatisfied,2,Weekly,Average
EMP1039,Project Manager,23,10,4,Medium,Yes,Unsatisfied,4,Weekly,Average
EMP1040,Software Engineer,48,7,3,Medium,No,Unsatisfied,1,Weekly,Average
EMP1041,HR,37,7,1,Medium,No,Neutral,5,Weekly,Poor
EMP1042,Marketing,27,11,3,Medium,Yes,Satisfied,3,None,Good
EMP1043,Sales,39,15,4,Low,Yes,Satisfied,1,None,Average
EMP1044,Marketing,31,2,5,Medium,Yes,Neutral,3,Daily,Poor
EMP1045,Marketing,52,1,2,High,Yes,Neutral,3,Daily,Good
EMP1046,Sales,55,1,1,Low,Yes,Neutral,3,Daily,Poor
EMP1047,Designer,29,11,2,High,No,Unsatisfied,1,None,Good
EMP1048,Designer,23,15,2,Medium,Yes,Unsatisfied,3,None,Average
EMP1049,Sales,46,10,4,High,Yes,Satisfied,3,Daily,Good
EMP1050,Designer,47,2,1,Low,Yes,Satisfied,5,Weekly,Good
EMP1051,Project Manager,51,2,2,High,No,Unsatisfied,2,None,Average
EMP1052,Sales,46,5,2,High,Yes,Satisfied,2,None,Poor
EMP1053,Project Manager,41,12,3,Medium,No,Unsatisfied,4,Daily,Good
EMP1054,Data Scientist,29,6,2,High,Yes,Satisfied,2,Daily,Average
EMP1055,Sales,31,1,4,Low,No,Neutral,3,Daily,Average
EMP1056,Data Scientist,25,4,1,High,No,Satisfied,1,Weekly,Good
EMP1057,Sales,60,13,1,High,Yes,Satisfied,5,None,Average
EMP1058,Software Engineer,28,10,4,Medium,No,Unsatisfied,1,Weekly,Good
EMP1059,HR,34,14,4,High,Yes,Neutral,1,Daily,Good
EMP1060,Software Engineer,35,13,5,High,Yes,Unsatisfied,4,Weekly,Good
EMP1061,HR,20,8,2,Medium,Yes,Unsatisfied,2,None,Good
EMP1062,Designer,26,7,3,High,Yes,Neutral,2,Weekly,Poor
EMP1063,Project Manager,45,11,1,Low,No,Unsatisfied,1,None,Poor
EMP1064,Designer,60,2,3,Low,Yes,Unsatisfied,4,Weekly,Poor
EMP1065,Data Scientist,41,0,5,Low,No,Unsatisfied,5,None,Poor
EMP1066,Data Scientist,42,2,5,Low,No,Unsatisfied,1,None,Good
EMP1067,Project Manager,41,0,1,Medium,Yes,Unsatisfied,2,Weekly,Good
EMP1068,Marketing,23,2,1,Low,No,Satisfied,3,Weekly,Good
EMP1069,Sales,34,13,5,Low,No,Satisfied,2,Weekly,Average
EMP1070,Software Engineer,53,6,4,Medium,Yes,Unsatisfied,1,Weekly,Good
EMP1071,Marketing,33,2,5,High,Yes,Satisfied,5,Weekly,Average
EMP1072,Marketing,50,6,1,High,No,Neutral,2,Daily,Poor
EMP1073,Software Engineer,41,15,2,Low,Yes,Neutral,2,None,Poor
EMP1074,Software Engineer,48,2,3,Medium,No,Neutral,2,None,Good
EMP1075,Marketing,58,6,1,Low,Yes,Unsatisfied,3,Daily,Good
EMP1076,Designer,33,5,3,Low,Yes,Neutral,2,None,Average
EMP1077,Project Manager,49,15,3,High,No,Neutral,2,Weekly,Poor
EMP1078,Designer,60,15,2,Medium,Yes,Satisfied,5,Daily,Good
EMP1079,Software Engineer,40,15,4,High,Yes,Unsatisfied,2,Weekly,Average
EMP1080,HR,60,8,1,Low,Yes,Neutral,4,None,Good
EMP1081,Project Manager,48,5,2,Medium,No,Neutral,5,None,Average
EMP1082,Designer,50,4,1,Low,No,Unsatisfied,5,Weekly,Good
EMP1083,Sales,33,1,2,Medium,Yes,Satisfied,4,Daily,Good
EMP1084,Data Scientist,45,15,3,Low,No,Unsatisfied,4,None,Average
EMP1085,Marketing,56,5,4,High,Yes,Satisfied,1,None,Poor
EMP1086,Sales,31,0,2,Medium,No,Satisfied,2,Weekly,Average
EMP1087,Project Manager,43,12,4,Low,No,Neutral,1,Daily,Average
EMP1088,Data Scientist,40,9,1,Low,No,Satisfied,5,Daily,Average
EMP1089,Project Manager,34,13,4,High,No,Unsatisfied,5,Weekly,Poor
EMP1090,Marketing,40,4,1,High,No,Neutral,4,None,Average
EMP1091,Designer,33,2,4,High,No,Unsatisfied,1,Weekly,Poor
EMP1092,HR,20,13,4,Medium,Yes,Neutral,4,Weekly,Poor
EMP1093,Marketing,34,4,3,Low,No,Unsatisfied,3,Daily,Average
EMP1094,HR,25,14,4,Low,No,Neutral,3,Daily,Poor
EMP1095,Data Scientist,35,11,1,Low,Yes,Satisfied,5,None,Good
EMP1096,HR,45,6,3,Medium,No,Satisfied,5,None,Poor
EMP1097,Software Engineer,28,15,1,Low,No,Neutral,4,Daily,Good
EMP1098,Designer,58,12,3,High,No,Neutral,3,Weekly,Poor
EMP1099,HR,23,13,2,Low,No,Neutral,3,Weekly,Average
EMP1100,HR,57,15,3,High,Yes,Unsatisfied,3,Daily,Average
EMP1101,Marketing,28,14,5,High,No,Satisfied,5,None,Poor
EMP1102,Software Engineer,50,1,2,Low,Yes,Satisfied,5,None,Average
EMP1103,Designer,46,5,4,Medium,No,Neutral,5,None,Good
EMP1104,Software Engineer,60,7,3,High,No,Neutral,4,Daily,Average
EMP1105,Designer,25,3,5,High,Yes,Neutral,5,Daily,Poor
EMP1106,Sales,45,13,3,High,No,Satisfied,5,Daily,Good
EMP1107,Data Scientist,50,2,4,Medium,Yes,Unsatisfied,4,Weekly,Poor
EMP1108,Designer,25,3,3,Low,No,Neutral,4,None,Good
EMP1109,HR,49,15,4,Low,Yes,Neutral,5,None,Average
EMP1110,Software Engineer,23,4,3,High,No,Satisfied,4,Weekly,Average
EMP1111,Data Scientist,26,11,1,Medium,No,Satisfied,2,Weekly,Average
EMP1112,Project Manager,46,1,4,Medium,No,Satisfied,2,Weekly,Average
EMP1113,Data Scientist,42,5,1,Medium,No,Unsatisfied,4,Weekly,Poor
EMP1114,Designer,46,15,3,Medium,No,Neutral,5,None,Average
EMP1115,Designer,29,10,5,Low,Yes,Neutral,2,Weekly,Good
EMP1116,Data Scientist,43,5,2,Medium,Yes,Satisfied,4,Daily,Average
EMP1117,Data Scientist,33,7,4,Low,Yes,Neutral,2,None,Average
EMP1118,Sales,24,14,1,High,Yes,Unsatisfied,1,None,Average
EMP1119,Project Manager,30,8,2,Medium,No,Neutral,5,Weekly,Good
EMP1120,Sales,29,1,5,Medium,Yes,Satisfied,3,None,Average
EMP1121,Data Scientist,23,2,5,Low,Yes,Satisfied,2,Weekly,Poor
EMP1122,Designer,43,9,5,High,Yes,Satisfied,1,Weekly,Poor
EMP1123,Marketing,28,4,5,Medium,Yes,Satisfied,1,None,Poor
EMP1124,Sales,22,11,3,Low,No,Satisfied,3,Weekly,Good
EMP1125,Project Manager,58,10,4,Medium,Yes,Unsatisfied,5,None,Average
EMP1126,Marketing,39,10,1,Low,No,Satisfied,5,None,Average
EMP1127,Data Scientist,49,8,5,Medium,No,Satisfied,5,Daily,Good
EMP1128,Sales,39,10,1,Medium,Yes,Neutral,1,Daily,Poor
EMP1129,Designer,39,7,3,Medium,No,Satisfied,1,Weekly,Poor
EMP1130,Data Scientist,36,1,5,High,No,Unsatisfied,4,None,Average
EMP1131,Marketing,22,9,4,Low,No,Satisfied,4,Weekly,Average
EMP1132,Designer,53,8,3,High,No,Unsatisfied,5,None,Good
EMP1133,Designer,26,7,2,High,Yes,Unsatisfied,3,None,Average
EMP1134,HR,24,15,5,High,Yes,Unsatisfied,4,None,Average
EMP1135,Data Scientist,47,12,4,High,Yes,Satisfied,3,None,Good
EMP1136,Marketing,43,14,5,Medium,Yes,Satisfied,2,Weekly,Poor
EMP1137,Sales,56,3,5,Low,Yes,Neutral,4,Daily,Average
EMP1138,Marketing,52,0,4,Low,Yes,Unsatisfied,1,Weekly,Poor
EMP1139,Designer,35,10,5,Low,No,Neutral,5,Weekly,Average
EMP1140,Marketing,36,11,5,Low,Yes,Neutral,1,Weekly,Good
EMP1141,Project Manager,25,9,2,High,Yes,Unsatisfied,3,Daily,Good
EMP1142,Marketing,54,11,1,High,No,Neutral,3,None,Average
EMP1143,HR,52,6,3,Medium,Yes,Satisfied,5,Daily,Good
EMP1144,Sales,23,13,5,High,Yes,Satisfied,1,None,Poor
EMP1145,HR,57,15,4,Low,No,Unsatisfied,1,None,Average
EMP1146,Designer,50,10,3,Medium,No,Satisfied,4,Daily,Good
EMP1147,Sales,59,8,1,High,Yes,Unsatisfied,1,Daily,Poor
EMP1148,Designer,30,8,3,Medium,Yes,Satisfied,2,Daily,Average
EMP1149,Marketing,20,4,3,Low,Yes,Neutral,4,Weekly,Good
EMP1150,Software Engineer,51,1,5,Low,No,Satisfied,3,None,Average
EMP1151,Project Manager,58,12,3,High,Yes,Unsatisfied,5,Daily,Good
EMP1152,HR,36,14,1,High,No,Neutral,5,Weekly,Average
EMP1153,Marketing,33,4,5,High,No,Neutral,2,Weekly,Poor
EMP1154,Marketing,58,12,3,Low,No,Neutral,2,Daily,Average
EMP1155,Data Scientist,27,7,2,High,No,Neutral,4,Daily,Average
EMP1156,HR,45,12,2,Low,Yes,Unsatisfied,2,Weekly,Poor
EMP1157,Sales,58,5,1,Low,No,Unsatisfied,4,Weekly,Good
EMP1158,Marketing,37,7,1,Low,Yes,Unsatisfied,4,None,Good
EMP1159,Data Scientist,59,1,2,Medium,No,Neutral,5,None,Poor
EMP1160,HR,35,3,3,Low,Yes,Neutral,1,Daily,Average
EMP1161,Sales,31,1,1,High,No,Unsatisfied,4,Weekly,Average
EMP1162,Designer,44,2,3,High,No,Neutral,2,Weekly,Good
EMP1163,Software Engineer,42,7,2,Medium,Yes,Neutral,5,Daily,Average
EMP1164,HR,27,1,1,Medium,No,Satisfied,1,Daily,Poor
EMP1165,Designer,39,7,1,High,Yes,Unsatisfied,2,Weekly,Poor
EMP1166,Software Engineer,45,5,1,Medium,No,Neutral,2,None,Good
EMP1167,Project Manager,59,7,3,Medium,No,Unsatisfied,2,None,Good
EMP1168,Marketing,42,15,2,Low,Yes,Neutral,4,None,Poor
EMP1169,HR,55,5,2,High,Yes,Neutral,3,Weekly,Average
EMP1170,Data Scientist,41,15,5,Low,No,Unsatisfied,5,Weekly,Poor
EMP1171,Sales,37,9,3,Medium,Yes,Neutral,3,None,Average
EMP1172,Project Manager,30,6,3,Low,Yes,Satisfied,2,None,Poor
EMP1173,HR,58,8,3,Medium,Yes,Satisfied,4,None,Poor
EMP1174,Designer,36,7,2,Medium,No,Neutral,3,None,Good
EMP1175,Designer,41,8,2,Medium,No,Unsatisfied,1,None,Poor
EMP1176,HR,29,5,1,Medium,No,Neutral,1,None,Good
EMP1177,Software Engineer,31,11,4,High,No,Satisfied,3,None,Good
EMP1178,Data Scientist,39,7,5,High,Yes,Neutral,4,None,Good
EMP1179,Sales,33,7,4,High,No,Unsatisfied,3,None,Good
EMP1180,Sales,45,11,5,Low,Yes,Unsatisfied,2,None,Average
EMP1181,Marketing,39,1,3,Medium,No,Neutral,5,Daily,Average
EMP1182,Marketing,40,14,1,High,No,Satisfied,1,Weekly,Good
EMP1183,HR,49,0,5,Low,No,Unsatisfied,4,None,Poor
EMP1184,Project Manager,49,15,3,Medium,Yes,Satisfied,4,Weekly,Good
EMP1185,Sales,53,15,1,Medium,No,Satisfied,1,Weekly,Good
EMP1186,HR,23,5,5,High,Yes,Unsatisfied,4,Daily,Good
EMP1187,Software Engineer,34,13,5,High,No,Unsatisfied,3,Daily,Good
EMP1188,Software Engineer,55,0,3,Low,No,Unsatisfied,2,Daily,Poor
EMP1189,Data Scientist,44,2,4,Medium,No,Satisfied,4,None,Good
EMP1190,Sales,54,8,1,Low,No,Satisfied,2,Weekly,Poor
EMP1191,Data Scientist,29,9,5,Medium,Yes,Unsatisfied,5,None,Poor
EMP1192,Designer,32,2,1,Medium,Yes,Neutral,4,Daily,Good
EMP1193,Marketing,45,3,5,Low,No,Neutral,4,Daily,Good
EMP1194,Software Engineer,59,0,5,High,No,Satisfied,5,None,Poor
EMP1195,Designer,35,8,3,High,Yes,Satisfied,5,None,Poor
EMP1196,Project Manager,36,2,5,High,No,Unsatisfied,4,Weekly,Good
EMP1197,Software Engineer,29,5,2,High,No,Neutral,1,None,Poor
EMP1198,Project Manager,43,15,2,Medium,No,Neutral,3,None,Good
EMP1199,Sales,49,13,2,High,Yes,Neutral,3,Weekly,Poor
EMP1200,Data Scientist,52,11,4,Medium,No,Neutral,2,None,Average
EMP1201,Project Manager,54,15,1,Low,No,Neutral,4,Daily,Good
EMP1202,Project Manager,33,11,5,Medium,Yes,Satisfied,3,None,Poor
EMP1203,Software Engineer,31,9,1,Medium,Yes,Satisfied,4,Weekly,Average
EMP1204,Project Manager,45,10,2,Medium,Yes,Unsatisfied,3,Daily,Average
EMP1205,Project Manager,52,4,4,Low,No,Unsatisfied,4,None,Good
EMP1206,Marketing,41,7,3,High,Yes,Neutral,1,Weekly,Good
EMP1207,Marketing,54,14,2,Low,No,Satisfied,4,None,Poor
EMP1208,Sales,38,8,5,Medium,Yes,Satisfied,2,None,Average
EMP1209,Designer,23,5,2,High,No,Satisfied,4,None,Average
EMP1210,Sales,27,2,4,High,Yes,Unsatisfied,4,Weekly,Poor
EMP1211,HR,45,1,5,Medium,No,Unsatisfied,4,Weekly,Poor
EMP1212,HR,29,9,1,Medium,No,Unsatisfied,5,Daily,Poor
EMP1213,Sales,31,3,4,Medium,No,Unsatisfied,2,Daily,Poor
EMP1214,Marketing,45,12,5,High,Yes,Unsatisfied,4,Daily,Average
EMP1215,Project Manager,28,3,2,Low,No,Neutral,2,Weekly,Poor
EMP1216,Marketing,32,2,1,Medium,No,Satisfied,5,Weekly,Average
EMP1217,Project Manager,56,0,3,High,Yes,Unsatisfied,4,Daily,Average
EMP1218,Marketing,46,1,2,Low,Yes,Satisfied,1,Daily,Good
EMP1219,Designer,29,0,2,Medium,No,Neutral,3,Weekly,Average
EMP1220,Software Engineer,51,0,1,Medium,Yes,Satisfied,3,Weekly,Good
EMP1221,Marketing,35,6,5,Low,Yes,Unsatisfied,1,Daily,Good
EMP1222,Designer,23,13,5,Low,No,Unsatisfied,3,None,Average
EMP1223,Sales,50,12,2,Medium,No,Unsatisfied,2,None,Poor
EMP1224,Project Manager,58,14,1,Low,No,Neutral,1,Weekly,Average
EMP1225,Software Engineer,45,6,3,Low,Yes,Satisfied,5,Daily,Poor
EMP1226,Designer,54,9,4,High,No,Neutral,3,Daily,Good
EMP1227,Designer,54,15,3,High,Yes,Neutral,2,None,Average
EMP1228,Data Scientist,27,3,1,Medium,Yes,Neutral,5,None,Poor
EMP1229,HR,60,2,5,High,No,Neutral,5,Daily,Good
EMP1230,Project Manager,21,7,3,Medium,No,Satisfied,3,None,Poor
EMP1231,HR,60,15,3,Low,No,Satisfied,4,None,Good
EMP1232,Software Engineer,50,11,1,Medium,No,Satisfied,5,Daily,Average
EMP1233,Software Engineer,41,0,1,Low,No,Satisfied,2,None,Average
EMP1234,Marketing,41,5,1,Low,No,Unsatisfied,2,Daily,Poor
EMP1235,Data Scientist,56,1,2,Low,Yes,Neutral,3,Weekly,Good
EMP1236,Sales,23,4,2,Medium,No,Satisfied,4,Weekly,Poor
EMP1237,Data Scientist,32,7,4,High,Yes,Satisfied,1,Weekly,Average
EMP1238,Designer,22,13,3,High,Yes,Neutral,4,Weekly,Poor
EMP1239,Data Scientist,48,12,5,High,Yes,Neutral,5,Daily,Poor
EMP1240,Designer,22,7,5,High,Yes,Neutral,4,None,Poor
EMP1241,Designer,22,12,1,Low,No,Unsatisfied,5,Weekly,Average
EMP1242,Data Scientist,60,8,5,High,Yes,Satisfied,2,Daily,Average
EMP1243,Data Scientist,38,9,2,Medium,No,Satisfied,5,Weekly,Good
EMP1244,Data Scientist,34,9,1,High,No,Unsatisfied,2,Daily,Average
EMP1245,Software Engineer,23,14,4,High,Yes,Satisfied,3,Weekly,Poor
EMP1246,Designer,52,3,5,High,Yes,Unsatisfied,1,Daily,Average
EMP1247,Software Engineer,24,14,2,Medium,No,Neutral,5,None,Good
EMP1248,Marketing,38,10,4,Medium,Yes,Satisfied,1,Weekly,Poor
EMP1249,HR,46,2,5,High,No,Unsatisfied,3,Daily,Good
EMP1250,HR,44,3,3,Low,Yes,Neutral,4,Weekly,Good
EMP1251,Designer,31,7,2,Low,No,Neutral,4,Weekly,Average
EMP1252,Marketing,32,3,1,High,Yes,Neutral,4,Daily,Poor
EMP1253,Software Engineer,31,2,4,High,No,Satisfied,5,None,Average
EMP1254,Project Manager,20,10,3,High,No,Neutral,2,Daily,Good
EMP1255,Software Engineer,42,5,2,Low,No,Neutral,4,Weekly,Average
EMP1256,Marketing,36,4,3,High,Yes,Unsatisfied,3,Weekly,Good
EMP1257,Marketing,44,2,3,High,Yes,Satisfied,3,None,Good
EMP1258,Marketing,46,13,5,High,No,Neutral,2,None,Average
EMP1259,Designer,55,9,3,Low,Yes,Satisfied,4,Weekly,Good
EMP1260,Software Engineer,40,4,1,Low,No,Neutral,4,Weekly,Good
EMP1261,Sales,40,13,5,High,Yes,Satisfied,4,Daily,Average
EMP1262,HR,38,7,1,Medium,Yes,Unsatisfied,4,Weekly,Good
EMP1263,HR,57,12,2,High,Yes,Neutral,3,None,Average
EMP1264,Software Engineer,22,10,4,Low,No,Satisfied,1,None,Good
EMP1265,Data Scientist,45,8,4,High,Yes,Neutral,2,Weekly,Poor
EMP1266,Data Scientist,41,11,5,High,No,Neutral,4,Daily,Average
EMP1267,Data Scientist,49,11,2,Low,No,Unsatisfied,2,Weekly,Good
EMP1268,Sales,32,15,4,Low,No,Neutral,5,Weekly,Average
EMP1269,Sales,25,9,1,Medium,No,Neutral,3,Weekly,Average
EMP1270,Marketing,24,14,3,High,Yes,Unsatisfied,5,None,Good
EMP1271,Project Manager,49,12,4,High,No,Unsatisfied,5,Weekly,Good
EMP1272,Project Manager,59,4,5,Medium,No,Unsatisfied,2,Daily,Poor
EMP1273,HR,39,8,2,High,Yes,Unsatisfied,5,Weekly,Good
EMP1274,Project Manager,34,14,1,Medium,No,Neutral,4,None,Good
EMP1275,Software Engineer,55,10,2,Low,No,Neutral,3,Weekly,Poor
EMP1276,Designer,28,9,4,Low,Yes,Unsatisfied,5,Daily,Good
EMP1277,Project Manager,39,0,3,Medium,No,Satisfied,5,Daily,Average
EMP1278,Project Manager,43,6,1,Medium,No,Neutral,2,Weekly,Average
EMP1279,Sales,57,6,1,Medium,Yes,Neutral,5,None,Good
EMP1280,Software Engineer,32,1,1,Low,No,Satisfied,4,Weekly,Average
EMP1281,Data Scientist,25,15,1,Medium,Yes,Neutral,2,Daily,Good
EMP1282,Marketing,22,7,2,Low,No,Neutral,5,Daily,Average
EMP1283,Software Engineer,59,15,2,Low,No,Satisfied,2,Daily,Good
EMP1284,Software Engineer,22,6,3,Low,No,Unsatisfied,2,Daily,Average
EMP1285,Project Manager,46,8,3,Medium,No,Satisfied,5,Daily,Poor
EMP1286,Marketing,43,0,1,High,Yes,Unsatisfied,2,Weekly,Good
EMP1287,Marketing,48,6,4,High,No,Unsatisfied,4,Daily,Poor
EMP1288,Project Manager,39,15,4,High,No,Unsatisfied,3,None,Average
EMP1289,Project Manager,49,15,1,High,No,Neutral,1,None,Average
EMP1290,Marketing,38,11,4,Low,Yes,Unsatisfied,2,Daily,Good
EMP1291,Data Scientist,32,10,2,Low,No,Satisfied,4,Weekly,Average
EMP1292,Designer,47,7,4,High,Yes,Neutral,2,Weekly,Poor
EMP1293,HR,39,3,1,Low,No,Satisfied,2,None,Good
EMP1294,Data Scientist,47,9,3,Medium,No,Satisfied,2,None,Average
EMP1295,Designer,53,6,4,Low,No,Unsatisfied,3,None,Good
EMP1296,Designer,49,2,2,Low,No,Unsatisfied,1,Weekly,Poor
EMP1297,Sales,47,9,2,High,No,Unsatisfied,2,None,Good
EMP1298,Data Scientist,25,13,3,Low,No,Neutral,4,Daily,Average
EMP1299,Data Scientist,55,7,2,High,No,Neutral,3,None,Good
EMP1300,Sales,35,4,3,Low,No,Satisfied,5,Daily,Good
EMP1301,Data Scientist,57,2,4,High,Yes,Satisfied,5,Daily,Poor
EMP1302,Project Manager,58,13,4,Medium,No,Satisfied,3,Weekly,Good
EMP1303,Sales,44,12,1,Low,Yes,Unsatisfied,5,Daily,Average
EMP1304,Data Scientist,28,4,2,Medium,No,Satisfied,1,None,Poor
EMP1305,Designer,25,6,1,Low,No,Unsatisfied,5,Weekly,Average
EMP1306,Data Scientist,58,15,3,Low,Yes,Unsatisfied,2,None,Poor
EMP1307,Designer,44,11,1,High,No,Unsatisfied,2,Weekly,Average
EMP1308,Designer,25,1,3,High,Yes,Unsatisfied,2,Weekly,Poor
EMP1309,Project Manager,48,0,2,High,Yes,Unsatisfied,1,None,Good
EMP1310,Marketing,34,4,4,Low,Yes,Neutral,3,Weekly,Average
EMP1311,HR,38,1,1,Medium,No,Satisfied,4,None,Average
EMP1312,Designer,37,14,2,Low,Yes,Unsatisfied,3,None,Average
EMP1313,Marketing,22,5,4,High,Yes,Neutral,2,Weekly,Good
EMP1314,HR,22,3,2,Low,Yes,Satisfied,4,Daily,Average
EMP1315,Marketing,52,3,5,Low,No,Neutral,3,Daily,Poor
EMP1316,Designer,28,3,3,Low,Yes,Unsatisfied,5,Daily,Average
EMP1317,Data Scientist,43,3,1,Medium,Yes,Satisfied,5,None,Average
EMP1318,Sales,41,8,3,Low,Yes,Unsatisfied,2,Daily,Average
EMP1319,Marketing,48,3,3,High,No,Satisfied,2,None,Poor
EMP1320,Software Engineer,30,9,2,Low,Yes,Satisfied,2,Weekly,Good
EMP1321,Data Scientist,29,1,1,Medium,No,Neutral,1,Daily,Average
EMP1322,Project Manager,31,0,3,High,No,Neutral,3,None,Average
EMP1323,HR,43,4,5,Medium,Yes,Neutral,4,Daily,Poor
EMP1324,Marketing,56,2,2,Medium,Yes,Unsatisfied,4,Weekly,Poor
EMP1325,Data Scientist,58,9,2,High,Yes,Unsatisfied,4,Daily,Good
EMP1326,Marketing,53,7,4,High,Yes,Neutral,3,None,Good
EMP1327,Marketing,36,3,5,Medium,No,Neutral,2,Weekly,Poor
